Species,UCP_ID,Prep_Number,Date_of_death,Intake_date,Necropsy_date,Manner_of_death,County_approximate _ocation,City_approximate_location,Neighborhood,Latitude,Longitude,LatLong_Remark,Dissected_by,Collection_notes_condition,PAWS_Case_Number,Sex,Age,Reproductive status,Suspected_Young_of_Year,Total_length_(mm),Tail_(mm),Right_hind_foot_(mm),Right_ear_(mm),Testes_(mm),Weight_(g),Body_condition_(1-5),Skin_lesions,Ringworm,Ectoparasites,Coloration_claws,Notes_external,Tooth_wear,Bone_marrow_color,Bone_marrow_consistency,Heart,Lungs,Lymph_nodes,Notes_thoracic,Spleen_mass,Liver_mass,Liver_condition_path,Notes_liver_bile ducts_lymphatic,Kidney_pathology_condition,kidney_w_fat_g,kidney_wo_fat_g,Kidney_fat_weight_g,Kidney_fat_index_percentage,Uterine_scars_(L+R),Current_pregnancy_(Embryos_L+R),Notes_reproductive_urinary,Additional_notes_and_observations,UPDATE_SAMPLE_SHEET
Raccoon,RAC049,YH194,6/28/23,6/28/24,4/25/24,PAWS,Snohomish,Bothell ,22020 7th Ave W,47.79815404,-122.2426184,Specific,MT,Case 23-1358,2023-1358,Male,Juvenile,Baculum present,,521,142,74,32,NA,950,2,"lesions on bacculum, look infected ",NA,NA ,normal,right ear tagged ,"no front teeth, teeth still coming in",NA ,NA ,healthy ,"pale, spotting, dark discoloration from decomposition ",NA ,NA ,4.7,39.4w/gb,some parts pale ,NA,clear distinction ,6.1,5.6,0.5,8.928571429,NA,NA,"bacculum present, no testes ",NA,TRUE
Raccoon,RAC061,YH163,10/14/23,11/10/23,2/15/24,PAWS,Snohomish,Everett,200 120th st SW everett WA 98204,47.88813,-122.23577,Specific,"ID, MT",NA,2023-3962,Female,Adult,Uterine scars,,890,280,110,51,NA,5050,2,NA,NA,NA,normal,NA,worn mittens,NA,NA,normal,"discoloration (darker/spotting), feels slight;y decomposed",NA,"thoraic cavity full of blood, lots of internal bleeding",9.3g,w/ gb 183.3,"healthy, some white discoloration ",tear in left side of diaphram (what intrestine moved up through),good definition between cortex and medula  ,18.6,14.1,4.5,31.91489362,"uterine scares 1L, right side cut so probably scares there too we just were unable to see",NA,NA,"internal organs + intestines very jumbled, intestines where lung and heart should be w/ lung and heart. spleen under stomach by left leg",TRUE
Raccoon,RAC074,YH160,5/10/23,2/8/24,2/8/24,PAWS,King,Auburn,"Auburn West High School, 401 W Main st.",47.30834,-122.2353,Specific,"EM, MC","Found on school property chasing some kids, injury to tail possibly from another animal",23-179,Male,Unknown,N/A,NA,1025,310,110,55,20,5320,3,NA,NA,NA,normal,abscess of tail,normal,NA,NA,normal,pale,NA,NA,39,269.1 w/gb,some decomp,NA,normal,30.1,29,1.1,3.793103448,NA,NA,NA,NA,TRUE
Coyote,COY009,YH014,8/24/22,8/24/22,9/1/22,Roadkill,King,Kirkland,Juanita,47.7022317,-122.226687,Specific,"YH, OC, ER",NA,,Female,Juvenile,N/A,N,945,300,165,105,NA,7100,3,NA,NA,NA,NA,"Scabbing on right hind leg, could be road rash, 3-5%","no wear, jaw and teeth broken from impact",NA,NA,NA,NA,normal,NA,NA,NA,decomposed,decomposed,decomposed,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"stomach and diaphragm ruptures, all legs broken, jaw broken, compound fracture on right leg",TRUE
Coyote,COY108B,YH158,11/9/23,11/10/23,2/1/24,PAWS,Snohomish,Kenmore,NA,47.74145777,-122.2228068,Specific,"EM, MC",NA,23-4166,Male,Adult,Baculum present,NA,1190,365,175,112,30,9600,NA,NA,NA,NA,normal,NA,normal,NA,NA,normal,abnormally white/ discolored,NA,NA,36,253 w/o gb,"discoloration, white spots. Turning blank in some areas, likely from blood or decomp",spleen darker/discolored,NA,37,35,2,5.714285714,NA,NA,NA,,TRUE
Raccoon,RAC020,YH025,10/4/22,10/4/22,11/3/22,Roadkill,King,Kirkland,Juanita,47.7046582,-122.2205494,Specfiic,"YH, EL",NA,,Female,Adult,No scars observed,NA,1000,320,120,55,NA,6400,3,NA,NA,NA,NA,skull smashed,normal/tooth wear,NA,NA,frozen,foamy with blood,NA,internal bleeding,37.1,NA,healthy,NA,No spots,NA,NA,#VALUE!,#VALUE!,No scars observed,NA,NA,NA,TRUE
Raccoon,RAC014,YH024,9/6/22,9/6/22,11/3/22,Roadkill,King,Mercer Island,NA,47.57954,-122.215506,Specific,"ER,YH,RM",NA,,Male,Adult,Baculum present,NA,980,280,120,55,NA,5200,3,NA,NA,NA,NA,Skull shattered,Mandible destroyed,NA,NA,NA,Lungs dark red,NA,NA,16.9,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,NA,TRUE
Bobcat,BOB004,YH144,11/3/23,12/4/23,1/11/24,Other,King,Bothell,NA (presented to CBEAM),47.7601,-122.2054,,"EL,ER",NA,2023-4114,Female,Juvenile,Nonparous,N,735,105,137,54,NA,3940,3,NA,NA,NA,healthy coat,"looks good, full coat, no parasites","very clean, no mittens",pink,jelly,normal,normal,normal,NA,3.1g,98.1g w/gallbladder,normal,NA,normal,NA,NA,#VALUE!,#VALUE!,none,no,NA,"stomach very full, only 1 kidney! skull fractured and hemorrhaging",TRUE
Other,"NA, Beaver",YH259,11/22/24,11/23/24,11/27/29,Other,King,Bellevue,520,47.6420241,-122.2010183,specific,"SK, CP",Manner of death listed as DOR,NA,Male,Adult,Testes present,NA,1120,285,180,55,41x22.5,20625,5,NA,NA,NA,"normal, long claws",NA,"no teeth left, low to the gum back molars but not dished",NA,NA,normal,"some trauma, also some mottlinh that may be external to trauma",NA,NA,NA,NA,a little decomp,NA,NA,NA,NA,,,NA,NA,NA,"diaphram obliterated, food material everywhere ",FALSE
Raccoon,RAC037,YH167,5/16/23,5/18/23,2/22/24,PAWS,Snohomish,Everett,"1715 N Broadway Everett, WA 98201",47.99465,-122.20041,Specific,JC,NA,2023-1115,Male,Adult,Testes present,NA,1120,300,145,41,25x29,8950,3,NA,NA,NA,claws long but worn,NA,"missing several front teeth, TL canine broken (old break)",NA,NA,normal,spotting and discolored,NA,internal bleeding - lungs saturated with/ blood,"49.5, bumpy texture",360.9 w/gb,little white spotting,NA,NA,38.8,35.9,2.9,8.077994429,NA,NA,NA,NA,TRUE
