Species,UCP_ID,Prep_Number,Date_of_death,Intake_date,Necropsy_date,Manner_of_death,County_approximate _ocation,City_approximate_location,Neighborhood,Latitude,Longitude,LatLong_Remark,Dissected_by,Collection_notes_condition,PAWS_Case_Number,Sex,Age,Reproductive status,Suspected_Young_of_Year,Total_length_(mm),Tail_(mm),Right_hind_foot_(mm),Right_ear_(mm),Testes_(mm),Weight_(g),Body_condition_(1-5),Skin_lesions,Ringworm,Ectoparasites,Coloration_claws,Notes_external,Tooth_wear,Bone_marrow_color,Bone_marrow_consistency,Heart,Lungs,Lymph_nodes,Notes_thoracic,Spleen_mass,Liver_mass,Liver_condition_path,Notes_liver_bile ducts_lymphatic,Kidney_pathology_condition,kidney_w_fat_g,kidney_wo_fat_g,Kidney_fat_weight_g,Kidney_fat_index_percentage,Uterine_scars_(L+R),Current_pregnancy_(Embryos_L+R),Notes_reproductive_urinary,Additional_notes_and_observations,UPDATE_SAMPLE_SHEET
Coyote,COY122,YH223,5/6/24,5/20/24,6/20/24,,Snohomish,Lynnwood,NA,47.87213,-122.28566,Specific,"MC, JM, YH",NA,NA,Female,Adult,No scars observed,NA,1124,306,159,103,NA,8530,2,10%,NA,NA,claws very worn down,"mangy patches of very thin hair, 80% hair loss","normal, still white/pointed",NA,NA,normal,"very red, some pale discoloration on edges, dark discoloration",NA,NA,17.1,198 w/gb,lots of small white spots and patches (lesions),NA,"decomposed, little definition",22.7,21.3,1.4,6.572769953,"thickened vaginal wall, but no scars formed ",NA,NA,"chest/right upper ribs busted open; skin missing, patch on leg",TRUE
Coyote,COY129,YH208,5/2/24,5/2/24,5/23/24,Other,Snohomish,Everett,Paine Field,47.89225788,-122.2856385,Approx,KH,NA,NA,Male,,,NA,1140,220,950,139,42,12660,3,NA,NA,NA,normal ,NA,good teeth,NA,NA,NA,squishy ,NA,NA,19.8,263.5 w/ gb ,spongy ,spleen is black at one tip,"medula very white, clear distinction between ",45.1,32.4,12.7,39.19753086,NA,NA,NA,did not get the adreal gland ,TRUE
Coyote,COY132,YH209,5/2/24,5/20/24,5/23/24,Other,Snohomish,Everett,Paine Field,47.89225788,-122.2856385,Approx,"SB, JC","bleeding, twisted ",NA,Male,Juvenile,Baculum present,NA,1195,315,170,130,NA,9600,3,NA,NA,NA,normal,NA,still has mittens on front teeth,NA,NA,normal,calcified lumps ,NA,NA,15.5,221.7 w/gb,"pale, light yellowing, overall normal",NA,"very pale cortex, cleat distinction",26.9,24.8,2.1,8.467741935,NA,NA,NA,woodchip/piece of black berry bush stem stuck at top back mouth,TRUE
Coyote,COY150,YH250,6/29/24,8/16/24,10/3/24,USDA Wildlife Services,Snohomish,Everett,Paine Field,47.89206,-122.28562,approx,"TT,MC",NA,NA,Male,Adult,N/A,NA,1333,360,186,132,35x52,13450,3,"lesion under right arm, maybe exit/entry wound",NA,NA,"some reddish hair between toes, claws - normal, somewhat worn ",NA,"upper canines broken in half, missing some lower premolar ",NA,NA,normal,"normal, pink, spongy",NA,NA,30.1,253.7 w/gb,"somewhat pale, yellowish ","somewhat pale , yellowish",NA,46.2,38.2,8,20.94240838,NA,NA,NA,"musculoskeletal: lower incisor, all teeth worn down on edges, front left leg broken above elbow ",TRUE
Coyote,COY063,YH120,2/24/23,2/28/23,8/17/23,USDA Wildlife Services,Snohomish,Lynnwood,NA,47.87206,-122.2855,Specific,"KM, MP ",Shot through chest,,Female,Adult,Uterous not observed: nipples present,no,1210,345,194,114,NA,12050,3,"mange, lots of matting, 50%",NA,NA,"black tip tail, short normally colored claws","some mange, skin scrape taken","mittens worn, chip in the top right canine",pinkish,jelly,"normal, filled with frozen blood","foamy, full of blood",na,"bullet fragmented in cavity, tissue shredded, lots of trauma",22.4,246.6 w/gb,"white spots on liver, yellow around edges from adrenal gland, pale",stomach covered in fact,NA,44.6,36.5,8.1,22.19178082,na,na,na,na,TRUE
Coyote,COY112,YH151,11/16/23,12/4/24,1/25/24,USDA Wildlife Services,Snohomish,Everett,Paine Field,47.89213,-122.28548,Approx,"ID, NC",NA,,Female,Adult,No scars observed,NA,1250,340,185,115,NA,9390,3,NA,NA,NA,"some reddish coloration, black tip tail, longer front claws ",NA,"chipped bottom canine, normal wear",NA,NA,lots of fat around heart ,NA,NA,lots of fat around rib cage in general ,11,299g w/gb,"spotting on liver, condition ok",NA,"little definition, lots of fat",40,25,15,60.00000000,lots of fat around uterus and kidney,no,veins on bladder,,FALSE
Coyote,COY155,YH263,10/27/24,10/27/24,1/2/25,,Snohomish,Everett,Paine Field,47.91041,-122.28524,approx,EM,hit by a plane and decapitated; bad body condition  ,NA,Male,Adult,Baculum present,NA,NA,245,153,110,NA,9120,3,NA,NA,NA,normal,"decapitated & severe road rash, head and right arm completely detached from both front and back end of body ","bottom right canine broken, otherwise clean and normal",NA,NA,NA,NA,NA,"could not find heart, lungs or lymph nodes",NA,184.1 w/gb,squishy - color looks normal,did not weigh spleen becasue only found tiny sample,normal clear distinction between cortex and medula,41.3,40.4,0.9,2.227722772,NA,NA,NA,NA,TRUE
Coyote,COY130,YH212,5/9/24,5/20/24,5/23/24,,Snohomish,Everett,Paine Field,47.89213,-122.28506,Specific,MC,NA,NA,Female,Adult,Uterine scars,NA,1235,330,180,117,NA,10190,3,NA,NA,NA,normal wear,"hair on back very brown, tail also very brown, very little guard hairs on back ","teeth pinkish/purple color, front upper left tooth broken ",NA,NA,looked normal ,normal discoloration in some areas; pink and spongey ,NA,NA,24.8,258.2 w/gb,"spotting, very pale tan color, large white spots, lesions","slight discoloration on spleen, mostly normal ","very clear distinction, inner part very white",29.1,24.8,4.3,17.33870968,5 visible scars,NA,NA,"nasty fluffy hair on back hind areas, less gaurd hairs, cut hole in stomach during necopsy, hair on ",TRUE
Coyote,COY047,YH056,2/15/23,2/17/23,4/16/23,USDA Wildlife Services,Snohomish,Everett,Paine Field,47.8913,-122.28472,Approx,SK,NA,,Male,Adult,Testes present,NA,1298,341,184,121,31,10420,4,0%,NA,NA,Front left foot missing top two claws/ pads- trap?,NA,"missing top right middle back teeth, molars worn, front worn, left canine broken in half","light pink, almost white",frozen,Looks good,Larger than average,Normal,NA,15.8,213.9 with gall bladder,normal,NA,fat lesions on right kidney,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"Significant fat in abdomen, very full bladder, discoloring intestines at the end, no blood to collect, shot through skull",TRUE
Coyote,COY041,YH064,2/2023,2/17/23,4/20/23,USDA Wildlife Services,Island,Whidbey,Ault Field,48.347543,-122.28472,Approx,"ER, YH",NA,,Male,Adult,Testes present,NA,1220,340,200,110,20,10935,3,0%,NA,NA,NA,"thick fur, looks healthy","mittens white, moderate plaque on back teeth",pinkish-red,gelatinous,lots of fat,one lung sitting in blood,NA,NA,23,222.6 with GB,looks normal,NA,"fatty, dark, otherwise looks normal",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"shot right behind FL leg (through trachea), ribs obliterateed",TRUE
Raccoon,RAC090,YH200,3/2/24,3/2/24,5/2/24,PAWS,King,Seattle,38th ave E crockett st seattle WA 98112,47.63734492,-122.2840649,Specific,"SB,MT,ID,NW",NA,2024-0321,Male,Juvenile,Baculum present,yes,905,270,125,50,NA,4960,3,5% lessions on back,NA,flea dirt present,normal,"rash covering most of body, puss present in leasions, bottom 3 ribs broken",mittens present,NA,NA,healthy normal,"appear very healthy, very pink and almost no discoloration, slight decomp on one lobe ",NA,NA,18.3,209.7 w/gb,dark discoloration on edges no spots,intestines inflated ,normal,25,17.2,7.8,45.34883721,NA,NA,NA,inflated intestines very strange,TRUE
Coyote,COY034,YH032,11/21/22,11/21/22,1/5/23,USDA Wildlife Services,Snohomish,Everett,Paine Field,47.894,-122.284,Approx,NA,NA,,Male,Adult,Testes present,NA,1230,350,190,110,13,10800,3,NA,NA,NA,NA,NA,"Minimal, mittens ",red-dark,Jelly,Heart walls slightly thickened,NA,NA,"partly frozen, lots of blodd",12.1,NA,Starting to decompose,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"punctured stomach (shot), diaphram almost entirely gone",TRUE
Coyote,COY135,YH220,5/9/24,5/20/24,6/6/24,Other,Snohomish,Everett,Paine Field,47.89213,-122.28366,Approx,MC,NA,NA,Male,Adult,Baculum present,NA,1162,325,172,120,37x25,11950,2,"NA, thin fur",NA,NA,normal,NA,"very large canines, tooth wear normal ",NA,NA,normal ,discoloration where blood,NA,NA,15.5,287.4 w/gb,normal ,some small white spots on spleen,normal ,43.2,38.2,5,13.08900524,NA,NA,NA,"tail very thin, chest/shoulder area, large hole & exposed bone",TRUE
Coyote,COY144,YH244,8/8/24,8/16/24,9/19/24,Other,Snohomish,Everett,Paine ,47.89213,-122.28366,approx,CC,Manner of death listed as shot ,NA,Female,Adult,No scars observed,NA,1083,370,168,120,NA,10140,4,Right shoulder shot wound ,NA,NA,"red legs, black claws ",very fluffy - winter coat (?),"mittens, minimal wear, very white teeth ",NA,NA,normal ,some discoloration due to decay ,NA,NA,35.3,125.4 w/gb ,"normal, some rips (probably from wound) ",NA,normal ,33.8,30.6,3.2,10.45751634,NA,NA,NA,NA,TRUE
Coyote,COY062,YH055,2/23/23,2/28/23,3/30/23,USDA Wildlife Services,Snohomish,Everett,Paine Field,47.893167,-122.283541,Specific,"YH, OC, ER",NA,,Male,Adult,Testes present,NA,1120,310,175,100,30,11930,3,NA,NA,NA,NA,NA,"very white, mittens, chip on left upper canine",Bright pink,liquid,normal,"breathed blood, bubbly",NA,NA,33.3,308.4 w/ gall bladder,slight strawberry texture on all surfaces,NA,fuzzy border,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"Stomach very full, fat on intestines",TRUE
Raccoon,RAC098,YH232,NA,6/5/24,7/25/24,Roadkill,King,Seattle,Madrona Park,47.6104623,-122.2828507,Specific,"MC, BS",NA,NA,Female,Adult,Lactating,NA,930,290,120,45,NA,7390,3,"bare patch with scabbing on left back, skin damp (thinning, deconp?)",NA,NA,"coloration normal, front claws sharper",NA,"normal, upper left canine chipped",NA,NA,"normal, somewhat small",light pink with dark red discoloration,NA,NA,20.4,266.3 w/gb,"some lobes gray/decaying, central areas pinkish red",spleen dark gray around edges,one side of kidney dark gray/decomp,28.7,20.4,8.3,40.68627451,"3 left, 2 right, recently had litter",NA,NA,"Eyespopping out and bloody, left eye out of socket, black stripes along intestines, stomach full of gas",TRUE
Raccoon,RAC038,YH122,5/16/23,5/18/23,8/17/23,PAWS,King,Seatac,NA,47.44322,-122.28134,Specific,SK,NA,2023-1122,Male,Adult,Testes present,no,1002,310,126,38,NA,5740,1,3% tail? unclear if mange or just wound,NA,NA,normal,"very visually skinny, scabby tail wound w/ inflammation chunks, missing/no fur? bite?","tartar on all back teeth, mod wear to front top and bottom teeth, some broken ",dark red,watery jelly,"pale, nlue, thickened pericardium, extra veining apparent","light, pale, mottled grey portions. spot of yellow looks infected",collected one large but pale from lymph,na,77.2,292 w/gb,"hard calcified, bumps on livers, pale, dotted with dark small specks",na,"large l kidney. 1/2 very pale, 1/2 turning brown/black",NA,NA,#VALUE!,#VALUE!,na,na,na,"healing cuts on all foot pads, shallow/surface level, crusty eye and some blood/fluid/trauma on left eye, very pale gums, no subcutaneous fat at all, below avg musculature, extra pale and veined stomach, calcified bumps from liver extend into connective tissue, very small and pale and yellow intestines, some of what looks like necrotic muscle tissue above intestines above abdominal wall",TRUE
Coyote,COY020,YH038,11/15/2022,11/15/22,2/9/23,Roadkill,Snohomish,Everett,NA,47.8681,-122.276425,Specific,"YH, RM, OC",NA,,Female,Adult,N/A,N,1170,315,196,99,,11700,4,NA,NA,NA,NA,NA,Very worn,Reddish pink,Jelly-like,NA,NA,NA,NA,17.8,NA,NA,NA,"white lesions, lumps inside, only one intact",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"Heavily mangled, kidney hanging out of anus. Many organs mangled",TRUE
Raccoon,RAC080,YH175,2/14/24,2/27/24,3/7/24,PAWS,King,Seattle ,18418 51st Pl NE Lakeforest park 98155,47.76291,-122.27538,Specific,NC,,2024-0247,Male,Adult,Testes present,NA,890,150,130,50,35x27,5170,1,forarms both shaved (paws?),NA,NA,"very light brown/yellow, normal claw wear","both ears were split into two points instead of one, only half of tail remaining  ","mittens gone, very large canines top canine broken off/decaying  ",NA,NA,was squished when cut open there was grainy material/ lots of clotted blood ,"very spongy, had dark area sof discoloration ",NA,NA,46.3g,256.7g w/gb,normal,spleen very large + dark,NA,35,31.5,3.5,11.11111111,,,"kidney is very pale on outside, had normal coloration on inside",NA,TRUE
Coyote,COY071A,YH075,4/12/23,4/12/23,5/11/23,Roadkill,Snohomish,Lynwood,NA,47.8611407,-122.274417,Specific,"YH, NB",Picked up by Matt,,Female,Adult,Nonparous,N,1000,305,188,105,NA,9500,2,NA,NA,NA,"normal, black tipped tail",NA,mitten present but worn,light pink,jelly,"mostly missing, in pieces","One lung missing, present lung dirty from road",NA,NA,20.7,"244.4 with GB, is decomposing, likely not complete","white spots, hard to tell how much due to decomp",NA,"decomposed, normal but pale, nodule present, kidneys very fatty, medula white, maybe worms in collected kidney",NA,NA,#VALUE!,#VALUE!,NA,NA,NA,"Front left leg completely detached, hanging from skin, trachea and lung hanging out, front right leg broken at foot, rib cage obliterated, lesion on back right leg from road rash, skull and lower mandible broken, road rash on every leg",TRUE
Coyote,COY161,YH266,3/11/25,3/11/25,4/3/25,,King,Seattle,Magnuson/View Ridge,47.68433,-122.26974,approx,"CC, ER",NA,NA,Male,Adult,N/A,NA,1310,305,195,130,17.5,NA,3,small lesion on snout & L front paw & inside L ear,NA,NA,"all black, minimal wear",NA,"white, but worn. L top & bottom teeth behind canine signif. wear",NA,NA,"high fat tissue around heart, quite large heart",very bubble gum pink,NA,NA,26.5,305.8 w/gb,normal,NA,fatty,118.6,106.1,12.5,11.78133836,NA,NA,NA,"shot in skull - entry in snout, exit through right jaw; bullet still present",TRUE
Raccoon,RAC027,YH230,4/12/23,4/12/23,7/25/24,Roadkill,Snohomish,Lynwood,NA,47.8301496,-122.2656454,Specific,"WP, NC",NA,NA,Male,Adult,Testes present,NA,990,250,125,50,20x30,7390,3,road rash on lower back and feet,NA,NA,"normal wear, one damaged from accident",broken front right digit,"multiple missing teeth, multiple chipped teeth; present teeth were healthy missing teeth suspected to be from external impact/trauma",NA,NA,normal,"very damaged, discoloration and decomp, some lobes had bubbles",NA,some lobes ripped apart,13.2,159.2 w/gb,"slight discoloration (siiting in blood), slightly pale",spleen was torn on one end,"little delineation between two laters, pale",7.3,2.7,4.6,170.3703704,NA,NA,kidneys minimal distinction bwtween layers,Skull was damaged and not completely in tact,TRUE
River otter,OTT018,YH260,10/29/24,11/7/24,12/5/24,,Snohomish,Everett,Paine Field,47.90969,-122.26378,approx,TT,NA,NA,Female,Juvenile,No scars observed,NA,921,387,123,12,NA,7700,3,NA,NA,NA,NA,NA,all teeth present in good condition,NA,NA,normal,normal,normal,NA,41.3,310.4 w/o gb,damaged - not in tact,NA,both different color (pink vs dark red),30.81,29.29,1.52,5.189484466,NA,NA,both kidneys saved ,"some liver still frozen to gall bladder, accidentially cut off stomach end tie",TRUE
Raccoon,RAC094A,YH203,NA,NA,5/9/24,PAWS,Snohomish,lynwood,"14904 22nd Ave W, lynwood WA",47.86311145,-122.2635611,Specific,"NC, NW",NA,2024-0329,Female,Adult,Uterine scars,no,970,295,118,57,NA,4600,4,NA,NA,NA,normal,NA,normla,NA,NA,normal,white dots,NA,NA,12.3,220.0 w/gb,slightly discolored,NA,normal,24.2,21.3,2.9,13.61502347,scraring present (y shaped),NA,NA,lots of fat around intestiones,TRUE
Coyote,COY115,YH178,11/25/23,12/4/23,3/7/24,PAWS,King,Seattle ,6006 NE 61st st seattle,47.67365,-122.26322,Specific,Ellie,NA,23-4284,Female,Adult,Uterine scars,NA,1170,340,190,150,NA,10950,3,NA,NA,NA,no dew claws (looks like never had any),"pale chest, muzzel, and inner legs wear on lower front teeth","moderate wear + tartar, considerable wear on lower front teeth no mittens",NA,NA,larger then normal,pink effervesecnt ,NA,NA,14.8,292.7 w/gb,"dark, normal",NA,R: 45.4 - 39.9 L: 44.1-35.7,45.4,39.9,5.5,13.78446115,"thick+blochy, 5R 3L scars",NA,NA,kidney fatty especially the left,TRUE
Raccoon,RAC052,YH153,7/20/23,7/24/23,1/25/24,PAWS,King,Tukwila,15242 sunwood blvd.,47.46649,-122.25882,Specific,EM,RACC23-2800,23-2800,Female,Pup,Nonparous,NA,530,165,90,30,NA,760,2,NA,NA,pressence of fleas collected ,normal,NA,baby teeth protruding ,NA,NA,normal,"lesions, pale areas",NA,"pale tissue, clotted blood in heart and lungs",30g,w/gb 29,"normal, biles is very vibrant and dark",gall baldder very blue in color,NA,4,3,1,33.33333333,NA,NA,NA,potential distemper,TRUE
Raccoon,RAC087,YH195,6/17/23,6/17/23,4/25/24,Roadkill,King,Tukwila,14893 Interurban Ave S Tukwila,47.46925053,-122.2540801,Specific,"ID, KH",from Puget Sound Wildcare,23-288,Female,Juvenile,Nonparous,no,684,241,94,35,NA,335,3,NA,NA,NA,"normal, very little wear on claws ",NA,"very prominent mittens, very little tooth wear, very clean white teeth",NA,NA,"normal, healthy, not much blood in heart",some light pink discoloration ,NA,NA,10.3,94.1 g w/gb,normal,NA,distinct difference between cortex and medula ,13.3,9.4,3.9,41.4893617,no scaring present ,nonparous ,NA,NA,TRUE
Raccoon,RAC024,YH037,1/27/23,1/27/23,2/2/23,Roadkill,King,Seattle,Magnuson Park- 15th and Sand Point,47.67985,-122.25357,Specfic,EL,NA,,Male,Adult,Testes present,NA,1090,337,125,45,25,8900,4,NA,NA,NA,NA,Skin yellow,Intermediate,dark red (looks healthy),Jelly,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,#VALUE!,#VALUE!,NA,NA,NA,Abdominal cavity: thick fatty layers,TRUE
Coyote,COY091,YH097,2/11/23,2/11/23,6/27/23,Roadkill,King,Auburn,NA,47.338142,-122.2446239,Specific,"YH, IC",NA,,Female,Juvenile,Nonparous,Yes,1210,310,192,104,NA,10900,3,0%,none,none,very worn claws,lesion/road rash on FR leg,mittens; teeth are perfect,pinkish red,waxy,NA,left brown; right normal,NA,NA,20.2,203.1 w gb,liver is falling apart a little,NA,very little differentiation between medula/cortex,NA,NA,#VALUE!,#VALUE!,NA,NA,uterus obvious and many fat deposits,"fishy smell, she has a lot of fat, curly hair",TRUE
Raccoon,RAC068,YH149,11/15/23,12/4/23,1/18/24,PAWS,Snohomish,Lynnwood,721170th Pl Sw lynnwood,47.84396031,-122.2430806,Specific,NB,23-4220,23-4220,Male,Adult,Baculum present,NA,915,295,135,55,NA,6350,4,normal,NA,NA,normal,NA,"slightly worn, but good condition",NA,NA,normal,spotty on color,NA,NA,38.0 g,"283.2 g, overall healthy",normal coloring ,NA,healthy good contrast between layers,23.7,22.2,1.5,6.756756757,NA,NA,NA,,TRUE
